text,output,label,gold_explanation
people like you are directly responsible for this .,"hate <SEP> This statement is potentially hateful as it implicitly accuses a specific group of people for a problem or issue without providing evidence, which",normal,none
""" conservatism "" "" in the us means libertarianism only  which goes even further than classical liberalism ""","normal <SEP> none

This tweet doesn't contain any hateful language towards any particular individual or group based on their race, religion,",normal,none
pl get lost or i will block you,"normal <SEP> none

This tweet does not contain any obvious hateful speech. It can be interpreted as a request for someone to leave a",normal,none
fuhrer was madly loved by his people .,"normal <SEP> none.

The tweet itself does not contain any hateful language or speech towards any specific group or individual. It is a",normal,none
the western countries won't even get a crappy participation medal once islam turns them into 3rd world countries.,hate <SEP> This tweet contains a derogatory and dehumanizing statement towards people identified as being from Western countries and those who practice Islam.,hate,Islamists will turn Western countries into third world
"of course . unlike many white racists  we aren't  "" mindless haters . "" "" the jewish "" "" finance shark "" "" isn't any worse than a white one ""","hate <SEP> This tweet contains hateful language towards a specific racial group, white people. The user is making a comparison between white racists and",hate,Jews are greedy money lovers.
ted cruz on says trump missed the briefing on the klan / nazis always being bad,"normal <SEP> none.

The tweet is not directly hateful towards any specific individual or group. It is a comment made about a political",normal,none
still a white supremacist,"hate <SEP> This statement is considered hateful because it makes a sweeping and pejorative assumption about someone based on their race, implying that",normal,none
its corey young i'm pretty sure .,"normal <SEP> none

This tweet does not contain any hateful language or apparent bias against Corey Young or any specific group. It appears",normal,none
15 yo white danish girl blinded by african muslims in racially motivated hate crime | read more : via,"hate <SEP> The tweet contains hate speech as it makes a generalized and derogatory statement about a specific race and religion, implying that",hate,Muslims don't like white people.
well  they could let them creep in like the illegals from so . of border !,"hate <SEP> This tweet contains a derogatory comment towards individuals described as ""illegals,"" using a derogatory term to stereotype",hate,Immigrants are inferior
joining on #dcwatchlive tonight are rabbi jonathan cahn & . live conversation at 5pm et :,normal <SEP> none. This tweet does not contain any toxic or hateful speech. It is merely announcing the participation of certain individuals in a,normal,none
: lets turn our hate into action : action report on the liverpool white man march,"normal <SEP> none.

The input tweet does not contain any hate speech or toxic language towards a specific group or individual. It is encouraging",normal,none
retweeted robert spencer ( ): . you're referring to richard spencer  who is white ...,"normal <SEP> none

Explanation:
The tweet in question appears to be simply identifying the person being referred to, and does not",normal,none
the national border patrol council ( nbpc ) said that our open border is the biggest physical & economic threat facing the american people !,"normal <SEP> none.

The tweet itself does not contain any overtly hateful language or directed towards a specific group. The N",normal,none
